sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
AuthBrows1:Login,10,9134,7264,11999,1693.4479147585228,0.0,0.8063865817272801,32.212938976695426,40906.0
AuthBrows2:Login,10,8971,7201,11211,1496.891632684206,0.0,0.8254230293025175,32.97339300453983,40906.0
AuthBrows3:Login,10,9757,7328,12565,1942.6663738274813,0.0,0.747887218607434,29.878970813701294,40910.0
AuthBrows2:/users/illmasterc,20,928,104,2047,663.5945203963034,0.5,2.229654403567447,34.534603191192865,15860.5
AuthBrows1:/users/rfay,20,932,46,2674,769.2274354831607,0.5,2.196595277320154,32.372966433278414,15091.5
AuthBrows3:/users/randyfay,110,711,18,2468,421.55897649220697,0.09090909090909091,3.1069058042649345,60.38717165654568,19902.909090909092
AuthBrows1:/frontpage,10,1569,1338,1989,180.5678819724033,0.0,1.5436863229391786,61.69318269527632,40924.0
AuthBrows2:/user/35038,10,1456,901,2107,396.65627437367,0.0,1.6116035455278002,24.824045628525383,15773.0
AuthBrows3:/user/35037,100,640,218,1713,301.01303028274384,0.0,3.060818462856968,122.33708793731444,40928.0
AuthBrows2:/user/35036,10,1388,741,2327,528.313022743146,0.0,1.8426386585590566,29.370652524414965,16322.0
AuthBrows1:/users/randyfay,10,1496,762,2425,682.1293425736797,0.0,1.7190991920233798,34.56329508337631,20588.0
AuthBrows2:Logout,10,1372,674,1771,388.2924155839256,0.0,2.4709661477637757,101.09726340499135,41896.0
AuthBrows1:Logout,10,1142,448,1949,586.6198854454223,0.0,2.446183953033268,100.08332314090019,41896.0
AuthBrows3:/user/35038,100,1197,333,6221,1073.1228083961314,0.0,3.152187618207036,119.55533468352036,38838.0
AuthBrows3:/,100,528,211,1022,158.33517455069787,0.0,3.8421639067122606,153.49895060898297,40910.0
AuthBrows3:Logout,10,177,109,275,58.177658942243454,0.0,3.7965072133637054,155.3305334092635,41896.0
TOTAL,550,1303,18,12565,2066.908410361509,0.05454545454545454,12.818122494639695,416.40986420073176,33265.69090909091
